Jaké je hlavní město České Republiky?;Praha
Která řeka protéká Prahou?;Vltava
Jak se jmenuje nejvyšší hora České republiky?;Sněžka
Kdo je autorem románu "Babička"?;Božena Němcová
Ve kterém roce vznikla samostatná Československá republika?;1918
Které město je známé svým filmovým festivalem?;Karlovy Vary
Kdo složil Českou národní hymnu?;František Škroup
Která bitva se odehrála roku 1620 na Bílé hoře?;Bitva na Bílé hoře
Jak se jmenuje největší české jezero?;Černé jezero
Který český hokejista získal nejvíce bodů v NHL?;Jaromír Jágr
Jak se jmenuje česká národní měna?;Koruna
Kdo napsal dílo "Kytice"?;Karel Jaromír Erben
Které město je známé svými pivovary?;Plzeň
Jak se jmenuje český prezident zvolený v roce 2023?;Petr Pavel
Který český skladatel je autorem symfonie "Z Nového světa"?;Antonín Dvořák
Ve kterém roce byla založena Univerzita Karlova?;1348
Která česká sportovkyně vyhrála zlatou medaili ve skoku o tyči na olympijských hrách?;Kateřina Baďurová
Jak se jmenuje hlavní město Moravy?;Brno
Který český fotbalový klub má přezdívku "Slezská orlice"?;Baník Ostrava
Který český vědec získal Nobelovu cenu za chemii v roce 1959?;Jaroslav Heyrovský
Jak se jmenuje český hrad, kde byl uvězněn Karel IV.?;Křivoklát
Které město je známo jako "město stříbra"?;Kutná Hora
Kdo byl prvním československým prezidentem?;Tomáš Garrigue Masaryk
Které české město je známé svými lázněmi?;Mariánské Lázně
Kdo napsal knihu "Pán prstenů"?;J.R.R. Tolkien
Jak se jmenuje český národní park v jižních Čechách?;Šumava
Který český sportovec získal zlatou medaili ve víceboji na olympijských hrách?;Roman Šebrle
Jak se jmenuje nejstarší český hrad?;Přimda
Kdo složil operu "Rusalka"?;Antonín Dvořák
Které české město je známé svými vánočními trhy?;Praha
Jak se jmenuje český básník, který napsal "Máj"?;Karel Hynek Mácha
Kdo je autorem knihy "Osudy dobrého vojáka Švejka"?;Jaroslav Hašek
Která česká hora je součástí Krkonošského národního parku?;Sněžka
Který český astronom objevil planetku pojmenovanou po českém městě?;Luboš Kohoutek
Jak se jmenuje největší české náměstí?;Václavské náměstí
Kdo napsal knihu "Smrt krásných srnců"?;Ota Pavel
Jak se jmenuje český režisér, který získal Oscara za film "Amadeus"?;Miloš Forman
Které město je známé svým hradem a pivovarem?;Český Krumlov
Jak se jmenuje česká královna, která založila klášter na Zbraslavi?;Eliška Přemyslovna
Který český hudebník je známý písní "Chtěl bych být medvídkem"?;Michal David
Které město je sídlem České národní banky?;Praha
Jak se jmenuje český režisér známý filmem "Pelíšky"?;Jan Hřebejk
Který český hokejový tým má přezdívku "Rytíři"?;Rytíři Kladno
Kdo napsal knihu "Obsluhoval jsem anglického krále"?;Bohumil Hrabal
Jak se jmenuje český fotbalista, který hrál za Manchester United?;Karel Poborský
Která česká zpěvačka je známá písní "Sladké mámení"?;Helena Vondráčková
Který český politik je spojený s heslem "Pravda vítězí"?;Václav Havel
Jak se jmenuje česká herečka známá rolí ve filmu "Kolja"?;Libuše Šafránková
Které město je známé svým vánočním trhem na náměstí Svobody?;Brno
Který český spisovatel napsal "Povídky malostranské"?;Jan Neruda
Jak se jmenuje česká operní pěvkyně známá po celém světě?;Dagmar Pecková